City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,thompson,55.7435,-97.8558,62.76,48,75,14.97,CA,1722707628
83,susuman,62.7833,148.1667,38.03,77,13,1.5,RU,1722707629
84,port mathurin,-19.6833,63.4167,72.54,66,17,12.06,MU,1722707630
85,tazovsky,67.4667,78.7,56.8,82,81,10.02,RU,1722707631
86,ust-nera,64.5667,143.2,44.69,74,12,5.26,RU,1722707632
87,namibe,-15.1961,12.1522,63.09,80,28,12.68,AO,1722707633
88,mount pearl,47.5166,-52.7813,75.54,53,20,10.36,CA,1722707634
89,malango,-2.9627,119.9001,63.63,89,43,2.75,ID,1722707635
90,bodo,67.28,14.405,71.94,65,0,14.97,NO,1722707636
91,lata,40.1629,-8.3327,74.07,46,0,7.4,PT,1722707638
92,kinkala,-4.3614,14.7644,81.05,41,18,5.79,CG,1722707639
93,paulden,34.8856,-112.4682,92.55,38,9,3.0,US,1722707640
94,chonchi,-42.6128,-73.8092,47.41,91,93,4.29,CL,1722707641
95,aberdeen,57.1437,-2.0981,64.89,52,57,5.75,GB,1722707408
96,hithadhoo,-0.6,73.0833,83.12,76,94,7.31,MV,1722707643
97,la paz,-16.5,-68.15,62.58,12,20,10.36,BO,1722707420
98,pisco,-13.7,-76.2167,63.01,88,100,4.61,PE,1722707645
99,puerto ayora,-0.7393,-90.3518,75.16,83,77,7.0,EC,1722707647
100,mbuji-mayi,-6.15,23.6,83.73,23,15,3.83,CD,1722707648
101,taulaga,-11.0553,-171.0883,81.19,70,100,9.95,AS,1722707649
102,margaret river,-33.95,115.0667,51.48,69,59,1.7,AU,1722707650
103,shenkursk,62.1091,42.896,60.33,96,86,3.83,RU,1722707651
104,kodiak,57.79,-152.4072,51.31,87,0,0.0,US,1722707652
105,whitehorse,60.7161,-135.0538,56.8,61,75,3.44,CA,1722707653
106,saint-francois,46.4154,3.9054,76.44,56,0,10.36,FR,1722707654
107,karratha,-20.7377,116.8463,69.53,71,8,8.95,AU,1722707655
108,vilyuchinsk,52.9306,158.4028,52.07,90,93,8.14,RU,1722707656
109,tannum sands,-23.9504,151.3693,58.75,88,75,4.61,AU,1722707657
110,trincomalee,8.5711,81.2335,81.86,72,76,9.89,LK,1722707659
111,sitka,57.0531,-135.33,62.49,63,75,10.36,US,1722707660
112,dudinka,69.4058,86.1778,55.26,71,11,11.81,RU,1722707661
113,uturoa,-16.7333,-151.4333,76.17,67,92,11.48,PF,1722707662
114,cockburn town,21.4612,-71.1419,82.67,84,97,18.66,TC,1722707663
115,isangel,-19.55,169.2667,67.95,71,87,10.33,VU,1722707664
116,sidrolandia,-20.9319,-54.9614,93.31,18,0,15.41,BR,1722707665
117,sedhiou,12.7081,-15.5569,77.92,86,100,6.91,SN,1722707666
118,lensk,60.7253,114.9278,53.33,75,52,4.68,RU,1722707667
119,novyy urgal,51.0736,132.5642,63.97,70,86,1.48,RU,1722707669
120,gebeit,21.0667,36.3167,80.64,55,96,2.71,SD,1722707670
121,sinop,41.7711,34.8709,72.03,92,0,3.02,TR,1722707671
122,alice springs,-23.7,133.8833,58.55,29,75,8.05,AU,1722707672
123,axim,4.8699,-2.2405,75.99,84,82,8.16,GH,1722707674
124,dawson creek,55.7666,-120.2362,67.64,45,0,2.3,CA,1722707677
125,grand falls-windsor,48.9332,-55.6649,88.5,42,40,1.99,CA,1722707678
126,saint-pierre,-21.3393,55.4781,65.88,72,0,5.75,RE,1722707679
127,den helder,52.9599,4.7593,68.99,88,75,13.8,NL,1722707680
128,tura,25.5198,90.2201,75.34,97,100,5.59,IN,1722707681
129,guerrero negro,27.9769,-114.0611,79.54,51,18,12.06,MX,1722707683
130,badger,64.8,-147.5333,51.67,89,100,4.61,US,1722707684
131,mogadishu,2.0371,45.3438,76.6,87,89,17.38,SO,1722707685
132,saipan,15.1355,145.701,81.3,83,75,10.36,MP,1722707686
